date,refyear_clean,refmonth_clean,refperiodid,freqcode,refyear,refmonth,period,flowcode,flowdesc,reportercode,reporteriso,reporterdesc,partnercode,partneriso,partnerdesc,cmdcode,cmddesc,cifvalue,fobvalue,primaryvalue,qty,alt_qty,net_wgt,gross_wgt
2024-01-01,2024,1,20240101,A,2024,52,2024,X,Export,24,AGO,Angola,0,W00,World,7108,"Gold (including gold plated with platinum) unwrought or in semi-manufactured forms, or in powder form",,2776441.81,2776441.81,0.0,0.0,,0.0
2024-01-01,2024,1,20240101,A,2024,52,2024,X,Export,31,AZE,Azerbaijan,0,W00,World,7108,"Gold (including gold plated with platinum) unwrought or in semi-manufactured forms, or in powder form",,211908629.62,211908629.62,4272.39,4272390.0,4272.39,0.0
2024-01-01,2024,1,20240101,A,2024,52,2024,X,Export,32,ARG,Argentina,0,W00,World,7108,"Gold (including gold plated with platinum) unwrought or in semi-manufactured forms, or in powder form",,1628280075.67,1628280075.67,165757.94,165757.94,165757.94,0.0
2024-01-01,2024,1,20240101,A,2024,52,2024,X,Export,36,AUS,Australia,0,W00,World,7108,"Gold (including gold plated with platinum) unwrought or in semi-manufactured forms, or in powder form",,23554820702.975,23554820702.975,320334.93,0.0,320334.93,384.231
2024-01-01,2024,1,20240101,A,2024,52,2024,X,Export,40,AUT,Austria,0,W00,World,7108,"Gold (including gold plated with platinum) unwrought or in semi-manufactured forms, or in powder form",,2066798616.336,2066798616.336,27707.931,0.0,27707.931,0.0
2024-01-01,2024,1,20240101,A,2024,52,2024,X,Export,44,BHS,Bahamas,0,W00,World,7108,"Gold (including gold plated with platinum) unwrought or in semi-manufactured forms, or in powder form",,25164.0,25164.0,0.0,0.0,,0.0
2024-01-01,2024,1,20240101,A,2024,52,2024,X,Export,51,ARM,Armenia,0,W00,World,7108,"Gold (including gold plated with platinum) unwrought or in semi-manufactured forms, or in powder form",,5605279374.88,5605279374.88,77566.851,77566.851,77595.367,0.0
2024-01-01,2024,1,20240101,A,2024,52,2024,X,Export,52,BRB,Barbados,0,W00,World,7108,"Gold (including gold plated with platinum) unwrought or in semi-manufactured forms, or in powder form",,4000.0,4000.0,10.0,10.0,10.0,0.0
2024-01-01,2024,1,20240101,A,2024,52,2024,X,Export,56,BEL,Belgium,0,W00,World,7108,"Gold (including gold plated with platinum) unwrought or in semi-manufactured forms, or in powder form",,1121414126.719,1121414126.719,0.0,0.0,,0.0
2024-01-01,2024,1,20240101,A,2024,52,2024,X,Export,68,BOL,Bolivia (Plurinational State of),0,W00,World,7108,"Gold (including gold plated with platinum) unwrought or in semi-manufactured forms, or in powder form",,686631195.9,686631195.9,9376.78,9376.78,9376.78,10985.66
2024-01-01,2024,1,20240101,A,2024,52,2024,X,Export,70,BIH,Bosnia Herzegovina,0,W00,World,7108,"Gold (including gold plated with platinum) unwrought or in semi-manufactured forms, or in powder form",,883220.681,883220.681,18.66,18.66,18.66,0.0
2024-01-01,2024,1,20240101,A,2024,52,2024,X,Export,76,BRA,Brazil,0,W00,World,7108,"Gold (including gold plated with platinum) unwrought or in semi-manufactured forms, or in powder form",,3960421422.0,3960421422.0,0.0,0.0,,0.0
2024-01-01,2024,1,20240101,A,2024,52,2024,X,Export,96,BRN,Brunei Darussalam,0,W00,World,7108,"Gold (including gold plated with platinum) unwrought or in semi-manufactured forms, or in powder form",,1972442.865,1972442.865,44.0,44.0,44.0,0.0
2024-01-01,2024,1,20240101,A,2024,52,2024,X,Export,100,BGR,Bulgaria,0,W00,World,7108,"Gold (including gold plated with platinum) unwrought or in semi-manufactured forms, or in powder form",,46962731.093,46962731.093,1828.952,1828952.0,1795.441,0.0
2024-01-01,2024,1,20240101,A,2024,52,2024,X,Export,116,KHM,Cambodia,0,W00,World,7108,"Gold (including gold plated with platinum) unwrought or in semi-manufactured forms, or in powder form",,467902199.61,467902199.61,6749.84,6749.84,6749.84,0.0
2024-01-01,2024,1,20240101,A,2024,52,2024,X,Export,124,CAN,Canada,0,W00,World,7108,"Gold (including gold plated with platinum) unwrought or in semi-manufactured forms, or in powder form",,27284784336.513,27284784336.513,374171.422,374171.422,374171.422,0.0
2024-01-01,2024,1,20240101,A,2024,52,2024,X,Export,140,CAF,Central African Rep.,0,W00,World,7108,"Gold (including gold plated with platinum) unwrought or in semi-manufactured forms, or in powder form",,32068336.18,32068336.18,0.0,0.0,,0.0
2024-01-01,2024,1,20240101,A,2024,52,2024,X,Export,152,CHL,Chile,0,W00,World,7108,"Gold (including gold plated with platinum) unwrought or in semi-manufactured forms, or in powder form",,1202822168.059,1202822168.059,16479.241,16479.241,16479.241,0.0
2024-01-01,2024,1,20240101,A,2024,52,2024,X,Export,156,CHN,China,0,W00,World,7108,"Gold (including gold plated with platinum) unwrought or in semi-manufactured forms, or in powder form",,12358141473.0,12358141473.0,154156.496,154156496.0,154156.496,0.0
2024-01-01,2024,1,20240101,A,2024,52,2024,X,Export,170,COL,Colombia,0,W00,World,7108,"Gold (including gold plated with platinum) unwrought or in semi-manufactured forms, or in powder form",,4103524728.68,4103524728.68,69885.77,69885.77,69885.77,0.0
2024-01-01,2024,1,20240101,A,2024,52,2024,X,Export,188,CRI,Costa Rica,0,W00,World,7108,"Gold (including gold plated with platinum) unwrought or in semi-manufactured forms, or in powder form",,39605608.83,39605608.83,18661.17,18661.17,18661.17,0.0
